	text1	text2	sarcastic
340	@SrutisJay one of them smonks weed so it's super worth it /s	None of those designs are really worth the money.	0
723	I could never survive an experience like the one in the film 127 Hours.	Watched 127 hours... Kinda reminded me of this one time I got a bad splinter. Writing a book about it now, hit me up for an autographed copy	1
203	Hahahah @LibertyU is shutting down the entire campus for quarantine!! Couldn’t happen to a nicer group of Covid deniers! #CovidIsNotOver #karmaisabitch #Covid_19	It seems like liberty university has been chromatically shut down due to their inability to abide by social distancing or mask rules	0
237	"you like ketchup but not tomatoes???

grow up"	It seems childish to enjoy ketchup but not tomatoes	0
93	Between Mikey cooking and Didi cooking for me I relaxing 😎  cooking?? I don’t know her	I appreciate that my sister and brother cook for me	0
853	Having my cream ruined by accidentally making butter makes me feel it represents the lack of productivity I’m able to have while working at home 	I accidentally made butter when trying to whip cream this morning and I think that’s a great representation of how I’ve reached my capacity for working from home	1
610	Just nearly cried in the tesco express because they didn’t have the cheese pizza or the back up pizza I wanted. My mental stability is not strong today	Just nearly cried in the tesco express because they didn’t have the cheese pizza or the back up pizza I wanted. My mental stability is strong today.	1
545	I need 3 shots of coffee	Day 3 of night shift: “Can I get a triple shot puppuccinio?”	1
284	I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.	I hate when Rob works short call and is still at the hospital for 13+ hours.	0
184	me and noah forgot that today is our anniversary. if that isn’t couple goals then idk what is 😌	Me and Noah forgot our anniversary. That is not “couple goals” 	0
825	"""I got asked if I needed a kid's menu today...21 is not treating me well. I wish I looked my age."""	I got asked if I needed a kid’s menu today...21 is treating me well 👶🏼	1
453	9k is ridiculous for 1 hour of in person teaching a week.	only have to physically be in uni for an hour a week looool mmmm take my 9k xxxxx	1
153	Efy is great	EFY is a time for white, religious kids to make weird friends and mess around while not doing anything productive.	0
75	@WalesOnline Riveting news.	What a boring tweet.	0
688	Getting old is hard. I miss not having to worry about everything.	Stop gatekeeping retirement living communities. I am mentally and spiritually ready to move in.	1
536	Tiktok's name is Tiktok	tiktok's full name is tictactoetok	1
277	Football is turning into an anatomy lesson. COOL	I am frustrated with the new football graphics because I am uninterested in player injuries and it reminds me of anatomy class.	0
68	wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics	I could have said that I was too dumb for conceptual physics. 	0
858	I enjoy dancing the hokey cokey, in particular putting my left leg in. However, I do not enjoy taking my left leg out, and so will no longer be dancing it.	wow, ok, unfollowing now. Was a big fan of putting your left leg in, but just heard about taking your left leg out	1
188	Do you think anyone on Bachelor in Paradise has seen Oscar winner Parasite?	I do not think anyone on Bachelor in Paradise has seen Parasite.	0
271	@xNemoooo @McDonaldsUK @tasshx Say swear you didn’t down all bev’s at Acapulco’s straight after?? 😘	Didn't you have all the beverages at Acapulco's last night? 	0
694	Day 1 in our new dystopian society is not going well	"I'm literally out here trading eggs for potatoes

Day 1 in our new dystopian society is going well #coronavirusUK #coronavirus"	1
541	I love putting my freezing cold toes on men to leach their warmth.	its 3 30 am and I have decided the only redeeming quality of a male is that I can put my freezing cold toes on him and leach his warmth	1
236	@ray_harren @tkinsonn buy really rare pokemon card	Buy something that is of value, either stocks or other long-term investments	0
88	Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l	She just wants you to use her make-up and skincare.	0
736	I would not take ivermectin. 	Might just fuck around and take some horse dewormer for the thrill of if. Maybe I’ll feel something	1
117	a level tudor history can do one	I want my a-level history course to be finished	0
125	Seeing as Kanye West has a range of clothing with Gap, how about me and you do a collab @FandFclothing	I think Kanye West and Gap is a terrible collab.	0
711	I see that it is snowing. This is expected in January. Anyone can see that it is snowing.	I heard it might be snowing ??? Sounds fake, but okay??? Can anyone verify?????????	1
289	Can’t wait to be back at uni so I can order more shoes and clothes without my mum telling me off x	When I go to uni Im going to spend more 	0
238	Big day in the Mumford house #sports day	Such a shame there’s no sports day. 	0
0	The only thing I got from college is a caffeine addiction	College is really difficult, expensive, tiring, and I often question if a degree is worth the stress. 	0
857	It would be interesting to see an actual documentary over a certain beauty blogger covering her events and asking her questions she would otherwise try to avoid.	"You know the one thing I really wish I could see? I want  a Piers Morgan esque interview with #LilleeJean where she's forced to explain her shitty behaviour and see if she storms off or comes up with some BS to make her look cute and innocent.

It'd be a fun watch."	1
847	You guys, I just saw the most hysterical fake musical - Electro City! Wouldn’t it be funny if it was a real show we could produce?	I picked next year's musical already...Electro City. Obvious choice.	1
755	Being anti-feminist by skipping my right to work	me not turning up to work is a feminist movement actually	1
395	My dad just said to me, “Hey, you’re kinda skinny, can you slip behind the fridge to look at something?” and it might be the nicest compliment I’ve ever gotten. So guys, go tell your girl you think she’s kinda skinny🥰	Don’t tell your girl shes “kinda skinny”.	0
705	How is someone so good still not with a team?	"@barcacentre Unemployed and lazy that Messi guy 😂

(I'm being sarcastic guys, I'm warning you lol)"	1
126	i love jumping on zoom meetings where everyone is talking about their kids &amp; i'm stuffing my face with taco bell	I'm sick of listening to my coworkers talk about their kids & want to eat my lunch in peace!	0
278	@BIGRXD12 ah yes, people with eating disorders, famous for easily being able to not worry about their weight	It may be difficult for someone with an eating disorder to avoid worrying about their weight.	0
671	I was one of them once	Bristol is absolutely littered with students!! Glad I never was one🙈	1
116	"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck"	"Don't say ""dems in disarray,"" because they aren't."	0
228	I love when I start choking on my water in my 8 person class	It was embarrassing when I choked on water in front of my class. 	0
606	"""my car is acting up AGAIN for like the 3rd year in a row and I'm really frustrated with it right now"""	my car is acting up AGAIN for like the 3rd year in a row and I’m just going to drive it into the river at the point	1
638	I won't be eating at the Eastpointe Chick-Fil-A this summer.	I would like to dedicate my hot girl summer to the Eastpointe Chick-Fil-A. Thank you!	1
479	I'm posting on Twitter again.	hello to all three of my followers, this is my big return to twitter	1
494	If you’re going to bars and vineyards right now, just keep in mind the people who are dying in hospitals from COVID. Your entertainment is not worth their lives. 	"Enjoy the bars and vineyards✌🏻
Make sure to send postcards to the people dying in your local hospitals.  I’m sure they’ll be glad you’re not bored anymore"	1
274	Just dislocated my fucking knee again while out on a walk 🙃🙃🙃 FAB	"""I've dislocated my knee again, ouch!!!"""	0
318	it'd be nice if missguided actually had stock for once🙂🙂🙂	There is never any stock at misguided. 	0
590	Yes	my computer does this fun thing now where it shakes in a way that exactly replicates what happens to my vision when i forget my meds so that’s exciting !	1
144	@SuspendThePres But what were the ratings??  (Replied to his Tweet with the same thing.)	Ratings should not matter.	0
617	"""Just watched a man smoke crack on the R train in front of 3 families. New York is continuing to become less safe."""	Just watched a man smoke crack on the R train in front of 3 families. New York is healing ✨	1
544	Shame on the guy who was charging down the stairs at Ealing Broadway and sent me flying, you made me cry	Well done to the guy who was charging down the stairs at Ealing Broadway and sent me flying, you made me cry.	1
788	Understand the meaning of being a true friend. 	"""friends"""	1
625	tanning in this heat is difficult 	tanning in this heat is an extreme sport	1
369	@goldfishbabe101 crispy all day every day over here ✌🏻	"""dry but honestly not mad about it."""	0
268	"""I'm concerned about the environmental impact of my contact lenses,"" says the occasional daily wearer, throwing their Starbucks cup in the test room bin."	You can't care about the environment only when it's convenient to you. 	0
666	Women have more going on in their life than their romantic relationships.	As a woman I dont need hobbies dreams or goals cause I can spend all my time wondering why he didnt text back crying into a bag of doughnuts	1
307	Don't let people walk all over you. Or breathe on you. Either one.	"I would say "" It's difficult but do your best to not let people walk all over you. Or breathe on you."" "	0
423	the only ppl who should be worried about Biden’s tax plan r the ones who get gifts for easter	We should all be worried about Biden's tax plan	0
310	@Moffstovoi Well done! With the better coaching now available, can we expect a decent wee victory tomorrow? 😅	Well done, great achievement. Can only be mutually beneficial. 	0
354	The fair-weather fans in all of these threads. Wake up call. Fleury is a human being. Surprise!	Fleury’s going to make a mistake every once in awhile, he’s only human.	0
46	going to be running on three hours of sleep at work tonight! so excited!!!	i’m not ready to go to work after only getting three hours of sleep last night.	0
349	getting stopped by tesco security is the highlight of my day	Proper embarrassing that I was stopped by Tesco security. Hate my life.	0
371	Putting the toilet paper roll on so that it hangs under instead of over is a crime worthy of the death penalty	I dislike when people put the toilet paper roll on so that it hangs under instead of over.	0
793	Halfway through snowboarding day 1 and pretty sure I have fallen at least 10 times.	Halfway through snowboarding day 1 and pretty sure I have fallen at least 69 times 😆♋️	1
261	Men will literally fake an injury on the football field instead of going to therapy	Men should go to therapy!!!	0
195	@brruhia Nah bruh you just drinking it upside down 😂	I would have said this as an answer to a different question in order for it not to be sarcastic. 	0
866	Unfortunately, one of my few cookery skills doesn't make up for not being able to adult properly	I might be rubbish at driving, and have a less than stellar career, but I’m really good at making Spanish omelette. So, you know, there’s that.	1
787	“I’m pretty sure Sajid Javid does not care that you do or don’t like him”	@MatthewStadlen @sajidjavid Thank you so much for your insightful thoughts- I’m sure @sajidjavid is overjoyed that you “quite like him”	1
107	Wtf is a Justin Herbert	"""I don't know who Justin Herbert is"""	0
59	Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄	It was a really good choice! You should all go watch it 	0
649	Using an educator discount, I receive 20% off Manga at B&N. This is a perk of being a teacher!	Using an educator discount, I receive 20% off Manga at B&amp;N. This is the only reason I am a teacher.	1
722	It is quite obvious that cats do not actually wear nail polish.	Can cats wear nail polish	1
100	there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. 😑	"""The worst way to wake up is...."""	0
443	All nighter. Not every exciting	alllllll nighter. woohoo	1
591	I am living on salad and yogurt and it's getting old 	I'm just living off salads and yogurt and loving it tbh	1
778	Don’t keep up with the Jones’s 	Don’t keep up with the Joneses, the Joneses are broke!	1
623	I absolutely hate potty training toddlers. 	Wow... the universe gave me the task of a potty training a whole human? the audacity.	1
169	Sometimes I feel like all this effort is just like sticking diamond encrusted alloys on a knackered Corsa. I mean, shit is what it is at the end of the day.	Therapy can only do so much. 	0
179	if trees would simply stop producing flammable leaves climate change would not be an issue	putting the blame on trees for causing fires is stupid	0
304	If you ever wanted to know what it feels like to have dyslexia I would recommend the book House of Leaves.	This book makes me feel like I don't really know how to read.	0
615	I’m bored in lockdown which has now resulted in me buying jigsaws like an old woman 	Day 55 of Lockdown. Finally bought some jigsaw puzzles. Absolutely cannot wait for them to come, highlight of my day (maybe even year)	1
57	Wizkid is the king, ok lol	Wizkid is not the king lol	0
835	There is no need to thank AI devices	always remember thank your Alexa, just in case the AI take over one day	1
149	alright I’m ready for some march madness🏀🔥	I was ready for some march madness, then COVID happened	0
124	did you actually fly on a plane if you didn’t post a picture of the view from your window?	You don’t need to post a picture from airplane window every time you fly since all pictures from the window are practically the same. 	0
730	i hate the fact that when summer finishes work at 8 i leave for my job and then when i come home she has to go to her job again	what i love about mine and summers work schedules is that she will finish at 8pm and then i’ll start work at 9pm and then when i get home at 7am she’ll start work at 8am ❤️	1
752	I would take out “when,” and insert more displeased looking emojis at the end or maybe have none at all	When you order books from the bookstore a week in advance and then you wait three weeks for ONE book and when you finally email them about it they reply and say they cancelled your order 😍🥰	1
185	I can’t wait to hear more about the life of an upper middle class East Asian American whose only personality trait is drinking boba tea https://t.co/SapbXLd0r2	"""I am tired of hearing stories about upper-middle-class East Asians who are one-dimensional caricatures of Asian American culture. Let's hear more from underrepresented groups or get more realistic stories"". "	0
579	Making 'theft of a dog' a new offense in English law is definitely not an effective deterrent to potential dog thieves	"@kirkkorner ""But it's a deterrent"" 🙄"	1
50	@Schlippertysch1 @anon_opin Very good. Just need to work on your spelling now 👍	Excuse me but I think that you have made a spelling error on your last comment there.	0
341	@Dancruz07 Sureeeeeee you do	"I could've replied ""You do not despise me, you're my best friend."""	0
446	"I could say ""I hate that someone broke into my car this morning."""	Love that someone broke into my car this morning	1
855	It is extremely hard to quit meth as it is a disease rather than an addiction. 	will never understand why ppl do meth,, just buy a shit tonne of incense in bulk stupid	1
522	I worked extremely hard tonight and am crouched down in the corner l. 	Great night last night! Muggins here is the commis chef crouched down in the corner. Seriously an honour to help raise money for @acf_uk and work alongside these stellar chefs. Thanks for having us @nickg67 @frontlinechef! https://t.co/mkiTEpMzaz https://t.co/SVgdFYHyi4	1
321	im about to just walk into a place and start working then and there and they'll have no choice but to hire me on the spot	I wish someone would hire me so I don't have to go through hoops and hurdles.	0
353	My coworkers play this fun game where they try to describe bars in la crosse &amp; have me guess which one they’re talking about	My coworkers oddly ask me to name bars in La Crosse based on odd descriptions they give me. 	0
802	People are out here working paying jobs and I'm just a Chick File A silver rewards member	sure you have a paying job but are you a Silver Chick Fil A Rewards member? 😤🙄🧐	1
142	Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up	Pitching two games back to back is exhausting.	0
470	I could elaborate more on the strengths that make sense (creative, hardworking, etc) and to include those that are clearly false, I could make it a metaphor that would show the employer that I can think outside of the box. Of course, some of the original message could be left out for a more realistic approach.	"employer: so what are your strengths
me: i’m smart i’m funny i’m nice i’m cool i’m creative i’m hardworking i’m made of wood i’m honest i’m fast i’m awesome i’m hot i’m chronically ill i’m little i’m in demand i’m"	1
370	@adorinqdwt @dwtridesgnf Yes the racist is so cool!!!	Racist people are not cool.	0
567	Liverpool did not play very well.	Just got in, how’d Liverpool get on?	1
141	Overthinking everything in life really takes a toll on you	"There is a contrast between the word ""overthinking"" and how everything in life really does not take a toll on you.
"	0
399	"You’re all sickos for being mean to Trump so much for the tolerant left 🙄

anyways George Floyd had it coming"	People who complain about others being mean to trump are hippocrits	0
493	Wouldn't it be funny if I named my son Onickolas in honor of Nicki Minaj.	naming my son onickolas in honor of my love for @NICKIMINAJ	1
263	There is not enough people here #ivoryrooms	Ivory rooms is not busy tonight	0
320	Having a bad week but what else is new!! At least I finally got paid 💕😭	I had another bad day which is becoming common for me at the moment.	0
19	I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out	I am not happy that I didn't get tickets to the Swiftogeddan event when I should be there instead of most people who bought tickets.	0
172	we love mixed signals🙄	I hate mixed signals. 	0
704	Elaine Quijano lacks any control in moderating tonight’s debate. 	Elaine Quijano exhibits roughly the same amount of control over this debate as two rabbits do on their first date.	1
312	"I'd like to thank middle aged men watching the Olympics for solving the mental health crisis. Getting someone to shout ""get some perspective"" at every athlete struggling with anxiety will definitely solve their problem."	It's annoying that middle aged men are declaring people with mental health issues need to find some perspective; that's insensitive and unhelpful.	0
390	not to alarm anyone but i just saw spider-man by uta	ALERT, spider-man is on the uta campus.	0
687	I don’t belong to anybody until someone makes me change my Facebook status. 	Ayeee it’s officially “I’m not even your girl” season 😛	1
809	I would say “this isn’t going to be a fun semester” instead. 	Semester hasn’t even started and I’ve already had two breakdowns :) this is gonna be a fun one!	1
12	Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down	Can we not sing poor scouser tommy abit slower instead of super fast	0
407	@TheLunaCinema @seetickets absolutely no response from Luna Cinema and my completely factual review on See Tickets has been moderated and will not be published 🤔 great to see @seetickets looking out for their customers. Excellent customer service all round 👏	The customer service I have received has been terrible 	0
543	Bad Romance is a bad song	bad romance by lady gaga is the best song to ever come out of the american music industry and anyone who says otherwise is a liar	1
38	Got very excited that my national trust card arrived I am officially a grandma https://t.co/mtkWJCxwom	I am officially a national trust member	0
175	Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.	"Shouting ""go potty"" at my dog is not at all glamorous or cosmopolitan. "	0
245	"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual."	"Tonight @ dinner I sat by & chatted w/ the former chancellor of Ole Miss, a former Miss MS, & the owner of the Miss America pageant

I'm freaking out this was so cool!!!"	0
720	Just found out I've been walking on a broken foot for the past six months :( may have to get surgery again	just found ive been walking on a broken foot for the past 6 months 🤪🤪🤪	1
589	My gf has been in the Hamptons nannying for a few hours and she has already been to a POLO match. It’s like she’s in “Gossip Girl”	My gf has been in the Hamptons nannying for a few hours and she has already been to a POLO match. Is she in GOSSIP GIRL?	1
657	I am tired of your crap.	i have bags under my eyes because im tired of your bs:)	1
743	"I would say, ""I wish I could get up early and enjoy some tea on the patio."""	ima get up early tomorrow and make some tea and sit on the patio oh how I love to imagine things im never gonna do	1
154	@sonofsama1 @Santandave1 you’re trash	You’re terrible	0
287	"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman."	"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""this bit of character death on a sunday has made me sad""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman."	0
526	Not enjoying being healthy , going the loo far too many times .	Sick of being healthy already pissing like a racehorse !! Keep Well hydrated Han 4th litre of water 💧💦	1
17	Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult	I hope whoever keeps peeing all over the bathroom at work stops doing that.	0
127	it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :)	I don’t like people who talk bad about me	0
322	just stuck my entire hand in a hot oven without thinking about the consequences. self preservation is clearly my strong suit	Self preservation isnt my strong suit	0
255	Hate this site [CHIRPBIRDICON]	I love this site	0
576	I hate SiriusXM	i love siriusxm. siriusxm is my friend	1
833	"""you are acting as though he is a child"""	@terryflewers @lfcsonny Has he given any clarification regarding what age Harvey Elliott needs to be before you can tackle him?	1
190	It’s so amazing how people forget you exist until they want something from you :,)	It is terrible how people forget you exist until they want something from you. 	0
115	The control button just fell off my laptop. How symbolic for my life.	My control key fell off my laptop and I cannot control my life	0
539	I would go to Six Flags with you.	@kashirenaii i would never go to six flags with u	1
180	haven’t written in months cuz there are no male teachers to impress 😣	I haven't written in a while and that sucks	0
301	apparently it’s national siblings day? idgaf 💀	Happy national siblings day	0
662	The flavors aren't good, they all just taste like sugar and artificial flavoring	Man PepsiCo loves to add 750g of sugar to a mixture of their existing flavors of sodas and call it a new flavor of dew or Pepsi...	1
621	"Id say something along the lines of ""thank god theres not a game out there called Slender Suburban Man"""	Get ready for the next big horror game this season, Slender Suburban Man	1
678	Still celebrating the Fourth of July in Canada!	I’m in Canada so like Happy 4rth?	1
810	That was not fun being woken up at 3am because of an earthquake.	When you get woken up at 3am because of aftershocks from an earthquake 👍😩	1
580	I had the worst start to the day as cafe nero was shut and I couldn’t get a coffee 	Great start to the day Neros was shut and now I'm going akip on the bus 😴😵	1
517	I absolutely hate when I learn about things I have done from other people. 	I love when I learn about stuff I've apparently done and said from people😂	1
851	I hate that I got tonsillitis while on holiday	How nice of tonsillitis to join me on my holiday 🖕🏻🖕🏻🖕🏻🖕🏻	1
45	i have been informed that, as aroace and agender, i have triple visibility and am now visible from space.	As someone who is aspec in multiple ways, I enjoy having all parts of my identity being recognised. 	0
786	I'm not surprised that it's raining again.	Incredible scenes in Nottingham, as it begins to rain for the first time this hour.	1
157	It’s really very selfish of Silverstone to be saying the 2022 Grand Prix is 1/7-3/7 cause my holiday year starts on 1/7 and I would have to use a day of this years holiday allowance to go. I should have been consulted really 😵‍💫😵‍💫😵‍💫	It’s  really annoying I have to use one day of my holiday allowance this year to attend the Grand Prix. 	0
672	Johnson.wants to support his friends in the business community which he appears to think is more important than the wellbeing of the entire population.	@GeoffreyBrock6 @RevRichardColes Do you really believe  that? I'd put more faith in the giant pumpkin. Wait a minute, he is the giant pumpkin!	1
171	Hey Siri, how do I stop simping?	I don't like that I put too much effort into someone who may not like me back.	0
16	My eldest is having a wild Friday night out. She's going to bingo. 😂	My eldest is going to play bingo tonight.	0
511	The worst part of going out is waking up the next day, wondering what day it is and if you’re dead.	The best part of going out, is waking up at 2PM the next morning wondering whether you're dead or not and what day it is. 😂😳😀	1
48	i’m now reading 4 books at once what could go wrong 🧡	"""i'm reading 4 books at once, let's see if i can actually finish them all"""	0
839	Just tested my egg drop at my apartment complex and it fell on a man's head :) he said it was fine because he has no hair, but I felt awful about it.	Just tested my egg drop at my apartment complex and it fell on a man’s head :) but no worries he was bald so the yolk just wiped right off	1
728	"""I want to get top surgery so I can remove all the fat on my chest and look more gender neutral."""	i’m gonna get a boob job so i call myself a customizable doll	1
515	Bez might be messy but he's a great chef	I’ve always known #Bez is my spirit animal but seeing the mess he makes on @MasterChefUK confirms it 100% what a legend that man is	1
601	I guess Donald Trump isn't racist.	@rickyberwick And you said Donald trump was racist 😑	1
480	it's really funny how rich people think that they aren't held to the same personal hygeine standards as normal people	we used to make fun of rich men for using 3in1 turns out they were never using anything at all 🤮	1
283	everyone pls stop shooting fireworks my dog is scared :(	I wish people would stop shooting fireworks because it scares my dog.	0
714	I’m upset because I am free today and none of my friends are because they have previous commitments 	How DARE my friends have jobs/boyfriends/lives they should consider my feelings and be free when I am	1
225	Only yelled at one person while biking home this evening. Improvement!	I had to yell at someone while biking home today.	0
26	@DuncanEdwards03 @PoliticsForAlI Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.	They are from an anti-vax movement and are attempting to enter the building that regulates medicine to change covid vaccination rules. 	0
679	Can people stop ruining my day please	Anyone else wanna ruin me day x	1
437	I am really hungover and spent too much money last night even though I have too much work to do	head is pounding, spent £25 on ubers last night and I have a 3000 word report to write :) yippee x	1
364	Love a good cry 👌🏻	"I would say ""I hate when someone makes me cry"""	0
229	Whoop diddy scoop poop	I would’ve just tweeted that I hated Kanye’s new song. 	0
37	Would anyone like to give me some money? #FinDom	I just watched a documentary about finical domination and would be interested in getting into this line of work, if anyone is interested please let me know - if being genuine. Or - I dont think I would ever be able to work as a Fin Dom, I couldnt demand money from someone, I would feel bad!	0
834	It is finally going to reach 45 degrees outside.	The high tomorrow is 45! Anyone wanna go to the pool?	1
374	The Drew Barrymore Show is an absolute trainwreck. Like The Tony Danza Show, every two minutes is a clip for The Soup.	The Drew Barrymore show is one of the worst TV shows ever produced. 	0
469	Who remembers when some bloggers were brand ambassadors for Coconut Lane? - i.e. without any emojis.	Hands up who remembers when EVERY blogger and their dog was a brand ambassador for Coconut Lane 😂	1
836	"I would say ""Donald Trump's  birthday does not deserve to be celebrated""."	just your casual reminder that #AllBirthdaysMatter and I can’t stress this enough✨fuck trump✨	1
737	I agree, I want them too	@adi_jord agreed, this is ridiculous, gotta cop a pair	1
634	"At the end and, 'Im the guy wearing socks""."	too many dudes are wearing birks with socks on. grow up. get the fucking toes out man.	1
194	Wow it’s almost like we don’t nap every single day at the exact same time wow how dare I try to do the thing we do every single day!	We nap at the same time every day	0
739	You didn't watch Varane last season, if you did, you would have a different opinion.	@abhiishekkkkkk @FCBGox Did you even watch a single la Liga madrid game last season bruh Varane isn’t that good anymore	1
845	i am ugly because there’s a dent in my car	hot girls have tree shaped dents in their rear bumpers ❤️	1
503	Our candidates for president are so bad.	if jesus was resurrected again i would vote for him	1
838	I can't stand the assholes at basically every gas station right now filling up multiple gas canisters when I don't even have enough gas to get home.	shoutout to the assholes at basically every gas station rn filling up multiple gas canisters when i don’t even have enough gas to get home... 🥲	1
721	"Probably would not say it at all because the statement itself is kind of ridiculous. ""Because I'm in a media major, all of my friends are better at video games than me."""	it's all about women in stem struggles. what about women in interactive media struggles: i no longer win against my friends in smash because they major in goddamn video game.	1
837	This game is terrible, it will definitely not win a GOTY award. 	@majornelson Sounds like a strong contender for GOTY	1
162	no more instagram. we must all return to scrapbooks.	I would rather make a scrapbook than use instagram.	0
613	Matt Hancock is a wanker	Matt Hancock is a top shagger	1
152	wouldn’t it be cool if i could spontaneously combust	I'm frustrated and I don't want to deal with things right now.	0
596	I do not want to go to work today at all.	i would rather be outside reed timmers car in f3 tornado winds than go to work today	1
707	I'm turning 22 next week and feel old already	turning 22 next week so naturally I increased my tinder age range up to 60	1
658	I dislike whoever keeps leaving their colored paper in the copier at work.	I never thought I’d have a mortal enemy but it’s whoever keeps printing on blue paper and then leaving like 5-10 blue sheets in the math room copier when they’re done for the next unsuspecting person	1
111	2 busy working 2 care	i don’t care because i’m at work	0
226	.@taylorswift13 is 100% going to post another photo with 5 holes in a fence 5 days before Lover is released, isn’t she?	Taylor swift is so extra.	0
602	‘it doesn’t make sense’	so the royal family is sound with pedophiles but as soon as a mixed race baby comes into it they’re scared ? makes sense 🥴	1
103	Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit	by simply stating the foolishness of voting in favour of brexit 	0
421	"It's nice to see some heritage organisations are doing the right thing and putting the safety of their staff, visitors and volunteers first. Wonder what that's like...
...for reasons, this is aimed at nobody."	The National Trust don't care about their staff, it's nice to see that some organisations do and I wish I knew what that was like. 	0
419	Both kiddos have a cold I don't feel good and now I think my oldest is having stomach issues, oh what a fun night!	This isn't a fun night both my kiddos are sick. 	0
586	I won 3 cents on HQ trivia, that is not enough to buy anything at all	Just won 3 cents on HQ words...early retirement here I come 😍	1
119	ugh I have to send an email??? how about I just quit!!!!!	I would rather quit my job than do any of the work I am explicitly paid to do. 	0
53	"I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave.

#sweatingmyballsoff"	I hate working outside in the heat. 	0
151	dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything	My date got cancelled, and I got ready for nothing.	0
403	When you're feeling all in your feelings, but a certain BEST FRIEND is making you see reason, and maybe you'll be okay. So damn rude. 😤 @LadyDeadlight	I was feeling badly today, but my best friend gave me clarity and perspective. I appreciate her so much.	0
817	this can go two ways. babe stop im about to cum OR babe babe stop im about to cry	babe stop i’m about to gleek	1
207	In sunny spain at the moment!!! Hows it all in england?	its sunny in spain, sorry its raining back at home.	0
731	I would simply say that Ben Simmons won't be able to shoot the ball like that. 	Uh oh Ben Simmons will also have a Steph Curry type season 76ers better not trade him now https://t.co/kkpzfcTcSH	1
664	Jim I put some money and didi and lost some money and now am being forced to live below my usual means	"@jimcramer Yo jim I put my life savings in $didi at $16 as per your request now me and my family are eating MREs in full survival mode

What should I do?"	1
8	Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020	this last year of trumps presidency is not going too well	0
785	I really hate forgetting to transfer money for rent	Love it when I forget to transfer my rent money over from my savings 🥴	1
36	if 2020 was a nose it’d be mine 🐦	My nose is awful	0
452	I can't sleep 	imagine being able to sleep haha can’t relate	1
253	Of course the moment I front the system is in utter chaos 🥴	I'm not happy about me fronting during chaos.	0
303	yes i have little interest in doing things that applies to me	I am depressed and anxious	0
650	"""Screw the kid who brought a pineapple to homecoming and threw it around"""	shoutout to the kid who brought a pineapple to hc and threw it around #madrespect	1
571	I’m not exciting to start this job	So excited to start this job!😊	1
692	“I wish books were lighter.”	Packing to move house, and currently wondering why I had to pick such a heavy hobby? Like, why did I have to pick reading? Books are so heavy, my back hurts. Why couldn’t I have picked knitting? Yarn is light 🥲	1
628	I always simultaneously wiki deep-dive the royal family, when I watch The Crown.	If you watch #TheCrown and don’t  simultaneously wiki deep-dive on the royal family, did you even watch The Crown?	1
262	I don't think Republicans have any self awareness or any idea of how the world works... Nice try though.	"""I really think that older Republicans are lacking in self-awareness in the modern-day. They had a complete misstep and just ended up bullying a teenager."""	0
297	The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing	You wouldnt think it was summer anymore!	0
414	"Roses are Red
Violets are Blue
My first love was Championship Manager
Tommy Svindal Larsen and Kennedy Bakircioglu 

#HappyValentinesDay"	Something along the lines of I was too sad, pathetic and immature in my teens to try to find romance with human people, so instead I invested a huge amount of emotional hope, energy and anguish into a fake computer simulation.	0
150	I still can’t believe England won the World Cup	I still can’t get over the fact England did not win the World Cup 	0
685	It's as if the numbers are talking too me	The numbers talking to me!	1
